0,4804
1,333
5,1925
6,5580
7,8822
8,9768
9,9237
10,8748
11,9193
12,9334
13,9330
14,9573
15,10426
16,10562
17,10293
18,9063
19,7915
20,6588
21,6309
22,6206
23,6206
