1,0,699
1,1,56
1,7,252
1,8,840
1,9,910
1,10,938
1,11,1022
1,12,1064
1,13,1064
1,14,1064
1,15,1064
1,16,1064
1,17,1036
1,18,938
1,19,952
1,20,896
1,21,896
1,22,896
1,23,896
2,0,714
2,1,56
2,5,401
2,6,1064
2,7,1584
2,8,1625
2,9,1493
2,10,1374
2,11,1387
2,12,1388
2,13,1387
2,14,1439
2,15,1610
2,16,1638
2,17,1599
2,18,1411
2,19,1211
2,20,973
2,21,922
2,22,896
2,23,896
3,0,685
3,1,46
3,5,401
3,6,1064
3,7,1584
3,8,1625
3,9,1493
3,10,1374
3,11,1387
3,12,1388
3,13,1387
3,14,1439
3,15,1610
3,16,1638
3,17,1599
3,18,1411
3,19,1211
3,20,973
3,21,922
3,22,896
3,23,896
4,0,685
4,1,46
4,5,399
4,6,1064
4,7,1583
4,8,1625
4,9,1493
4,10,1374
4,11,1387
4,12,1388
4,13,1387
4,14,1438
4,15,1610
4,16,1638
4,17,1599
4,18,1411
4,19,1208
4,20,969
4,21,920
4,22,896
4,23,896
5,0,686
5,1,46
5,5,402
5,6,1064
5,7,1584
5,8,1625
5,9,1493
5,10,1374
5,11,1387
5,12,1388
5,13,1387
5,14,1439
5,15,1610
5,16,1638
5,17,1599
5,18,1412
5,19,1211
5,20,949
5,21,859
5,22,832
5,23,832
6,0,637
6,1,41
6,5,322
6,6,921
6,7,1414
6,8,1540
6,9,1436
6,10,1332
6,11,1356
6,12,1362
6,13,1362
6,14,1398
6,15,1566
6,16,1590
6,17,1554
6,18,1376
6,19,1159
6,20,921
6,21,896
6,22,896
6,23,896
7,0,698
7,1,42
7,6,403
7,7,821
7,8,888
7,9,919
7,10,982
7,11,1267
7,12,1356
7,13,1356
7,14,1356
7,15,1356
7,16,1356
7,17,1307
7,18,1104
7,19,963
7,20,907
7,21,894
7,22,894
7,23,894
